bus_id,station_id,voltage,dc,symbol,under_construction,tags,country,fid,visible,cat,name,name_nat,oid,dup,symbol,label,tie_line,geom
3072,3385,300,f,Substation,f,"'""mw""=>""-1"""," ""country""=>""LT"""," ""ogc_fid""=>""1585"""," ""visible""=>""-1"""," ""category""=>""-1"""," ""name_eng""=>""Utena"""," ""name_nat""=>"" """," ""objectid""=>""1637"""," ""duplicate""=>""1"""," ""mb_symbol""=>""substation"""," ""annotation""=>""Utena""'",POINT(25.301514 55.491304),POINT(25.301514 55.491304)
3073,3388,,t,Converter Station,f,"'""mw""=>""-1"""," ""country""=>""LT"""," ""ogc_fid""=>""1588"""," ""visible""=>""-1"""," ""category""=>""-1"""," ""name_eng""=>""Klaipėda"""," ""name_nat""=>""Klaipėda"""," ""objectid""=>""1640"""," ""duplicate""=>""2"""," ""mb_symbol""=>""converter"""," ""annotation""=>"""""," ""tie_line_station""=>""1""'",POINT(21.104736 55.733296)
3074,3389,380,f,Converter Station Back-to-back,f,"'""mw""=>""-1"""," ""country""=>""LT"""," ""ogc_fid""=>""1589"""," ""visible""=>""1"""," ""category""=>""-1"""," ""name_eng""=>""BtB"""," ""name_nat""=>"" """," ""objectid""=>""1641"""," ""duplicate""=>""1"""," ""mb_symbol""=>""converter_b2b"""," ""annotation""=>""BtB"""," ""tie_line_station""=>""1""'",POINT(23.884277 54.386955)
3075,3390,132,f,Substation,f,"'""mw""=>""-1"""," ""country""=>""LT"""," ""ogc_fid""=>""1590"""," ""visible""=>""-1"""," ""category""=>""-1"""," ""name_eng""=>""Ignalinos AE"""," ""name_nat""=>"" """," ""objectid""=>""1643"""," ""duplicate""=>""1"""," ""mb_symbol""=>""substation"""," ""annotation""=>""Ignalinos AE"""," ""tie_line_station""=>""1""'",POINT(26.444092 55.565922)
3076,3390,300,f,Substation,f,"'""mw""=>""-1"""," ""country""=>""LT"""," ""ogc_fid""=>""1590"""," ""visible""=>""-1"""," ""category""=>""-1"""," ""name_eng""=>""Ignalinos AE"""," ""name_nat""=>"" """," ""objectid""=>""1643"""," ""duplicate""=>""1"""," ""mb_symbol""=>""substation"""," ""annotation""=>""Ignalinos AE"""," ""tie_line_station""=>""1""'",POINT(26.444092 55.565922)
3077,3390,750,f,Substation,f,"'""mw""=>""-1"""," ""country""=>""LT"""," ""ogc_fid""=>""1590"""," ""visible""=>""-1"""," ""category""=>""-1"""," ""name_eng""=>""Ignalinos AE"""," ""name_nat""=>"" """," ""objectid""=>""1643"""," ""duplicate""=>""1"""," ""mb_symbol""=>""substation"""," ""annotation""=>""Ignalinos AE"""," ""tie_line_station""=>""1""'",POINT(26.444092 55.565922)
5739,6067,132,f,Substation,f,"'""mw""=>""-1"""," ""country""=>""LT"""," ""ogc_fid""=>""6021"""," ""visible""=>""-1"""," ""category""=>""-1"""," ""name_eng""=>""Parovėja"""," ""name_nat""=>""Paroveja"""," ""objectid""=>""6378"""," ""duplicate""=>""1"""," ""mb_symbol""=>""substation"""," ""annotation""=>""Parovėja"""," ""tie_line_station""=>""1""'",POINT(25.202637 56.084298)
5740,6068,132,f,Substation,f,"'""mw""=>""-1"""," ""country""=>""LT"""," ""ogc_fid""=>""6022"""," ""visible""=>""-1"""," ""category""=>""-1"""," ""name_eng""=>""Zarasai"""," ""name_nat""=>"" """," ""objectid""=>""6379"""," ""duplicate""=>""1"""," ""mb_symbol""=>""substation"""," ""annotation""=>""Zarasai"""," ""tie_line_station""=>""1""'",POINT(26.213379 55.733296)
5744,6072,132,f,Substation,f,"'""mw""=>""-1"""," ""country""=>""LT"""," ""ogc_fid""=>""6026"""," ""visible""=>""-1"""," ""category""=>""-1"""," ""name_eng""=>""Didžiasalis"""," ""name_nat""=>""Didžiasalis"""," ""objectid""=>""6385"""," ""duplicate""=>""1"""," ""mb_symbol""=>""substation"""," ""annotation""=>""Didžiasalis"""," ""tie_line_station""=>""1""'",POINT(26.092529 55.059495)
5745,6073,132,f,Substation,f,"'""mw""=>""-1"""," ""country""=>""LT"""," ""ogc_fid""=>""6027"""," ""visible""=>""-1"""," ""category""=>""-1"""," ""name_eng""=>""Pabradė"""," ""name_nat""=>""Pabradė"""," ""objectid""=>""6386"""," ""duplicate""=>""1"""," ""mb_symbol""=>""substation"""," ""annotation""=>""Pabradė"""," ""tie_line_station""=>""1""'",POINT(25.653076 55.065787)
5747,6075,132,f,Substation,f,"'""mw""=>""-1"""," ""country""=>""LT"""," ""ogc_fid""=>""6030"""," ""visible""=>""-1"""," ""category""=>""-1"""," ""name_eng""=>""Šalčininkai"""," ""name_nat""=>""Šalčininkai"""," ""objectid""=>""6389"""," ""duplicate""=>""1"""," ""mb_symbol""=>""substation"""," ""annotation""=>""Šalčininkai"""," ""tie_line_station""=>""1""'",POINT(25.257568 54.438103)
5751,6079,132,f,Substation,f,"'""mw""=>""-1"""," ""country""=>""LT"""," ""ogc_fid""=>""6033"""," ""visible""=>""-1"""," ""category""=>""-1"""," ""name_eng""=>""Leipalingis"""," ""name_nat""=>"" """," ""objectid""=>""6392"""," ""duplicate""=>""1"""," ""mb_symbol""=>""substation"""," ""annotation""=>""Leipalingis"""," ""tie_line_station""=>""1""'",POINT(23.609619 53.981935)
5752,6080,132,f,Substation,f,"'""mw""=>""-1"""," ""country""=>""LT"""," ""ogc_fid""=>""6034"""," ""visible""=>""-1"""," ""category""=>""-1"""," ""name_eng""=>""Kybartai"""," ""name_nat""=>"" """," ""objectid""=>""6393"""," ""duplicate""=>""1"""," ""mb_symbol""=>""substation"""," ""annotation""=>""Kybartai"""," ""tie_line_station""=>""1""'",POINT(22.807617 54.616617)
5754,6082,132,f,Substation,f,"'""mw""=>""-1"""," ""country""=>""LT"""," ""ogc_fid""=>""6036"""," ""visible""=>""-1"""," ""category""=>""-1"""," ""name_eng""=>""Pagėgiai"""," ""name_nat""=>""Pagėgiai"""," ""objectid""=>""6395"""," ""duplicate""=>""1"""," ""mb_symbol""=>""substation"""," ""annotation""=>""Pagėgiai"""," ""tie_line_station""=>""1""'",POINT(21.818848 55.210222)
